ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves
324,2025-08-29_18-43-44,villager,1,0
325,2025-08-29_18-43-44,villager,1,0
326,2025-08-29_18-43-44,villager,3,0
327,2025-08-29_18-43-44,villager,1,0
328,2025-08-29_18-43-44,villager,1,0
329,2025-08-29_18-43-44,villager,1,0
330,2025-08-29_18-43-44,werewolf,0,1
331,2025-08-29_18-43-44,villager,1,0
332,2025-08-29_18-43-44,villager,1,0
333,2025-08-29_18-43-44,villager,1,0
334,2025-08-29_18-43-44,villager,1,0
335,2025-08-29_18-43-44,villager,1,0
336,2025-08-29_18-43-44,werewolf,0,1
337,2025-08-29_18-43-45,villager,3,0
338,2025-08-29_18-43-45,villager,3,0
339,2025-08-29_18-43-45,villager,3,0
340,2025-08-29_18-43-45,werewolf,0,1
341,2025-08-29_18-43-45,villager,1,0
342,2025-08-29_18-43-45,werewolf,0,1
343,2025-08-29_18-43-45,werewolf,0,1
344,2025-08-29_18-43-45,villager,1,0
345,2025-08-29_18-43-45,werewolf,0,1
346,2025-08-29_18-43-45,werewolf,0,1
347,2025-08-29_18-43-45,villager,1,0
348,2025-08-29_18-43-45,villager,1,0
349,2025-08-29_18-43-45,werewolf,0,1
350,2025-08-29_18-43-45,werewolf,0,1
351,2025-08-29_18-43-45,werewolf,0,1
352,2025-08-29_18-43-45,villager,1,0
353,2025-08-29_18-43-45,villager,1,0
354,2025-08-29_18-43-45,villager,3,0
355,2025-08-29_18-43-45,villager,1,0
356,2025-08-29_18-43-45,villager,1,0
357,2025-08-29_18-43-45,villager,1,0
358,2025-08-29_18-43-45,villager,1,0
359,2025-08-29_18-43-45,villager,1,0
360,2025-08-29_18-43-45,villager,1,0
361,2025-08-29_18-43-45,villager,1,0
362,2025-08-29_18-43-45,werewolf,0,1
363,2025-08-29_18-43-45,werewolf,0,1
364,2025-08-29_18-43-45,werewolf,0,1
365,2025-08-29_18-43-45,villager,3,0
366,2025-08-29_18-43-45,werewolf,0,1
367,2025-08-29_18-43-45,werewolf,0,1
368,2025-08-29_18-43-45,villager,1,0
